Name,Home Country,Boulder,V Grade,Location,Year
Angela Payne,USA,The Automator,V13,"RMNP"" Co.""",2010
Angela Payne,USA,Freaks of the Industry,V13,"RMNP"" Co.""",2014
Angela Payne,USA,Evil Backwards,V13,"Mount Evans"" Co.""",2016
Dorothea Karalus,GER,Fragile steps,V13,Rocklands,2010
Anna Stohr,AUT,The Riverbed,V13,Magic Wood,2010
Anna Stohr,AUT,The Vice,V13,Rocklands,2013
Anna Stohr,AUT,The Power of One,V13,Rocklands,2013
Anna Stohr,AUT,Boogalagga,V13,Ticino,2015
Anna Stohr,AUT,Wrestling with an Alligator,V13,Maltatal,2016
Anna Stohr,AUT,Meadowlark Lemon stand,V13,"Red Rocks"" Nevada""",2017
Anna Stohr,AUT,Steppenwolf,V13,Magic Wood,2017
Anna Stohr,AUT,New Base Line,V14,Magic Wood,2017
Anna Stohr,AUT,Penrose step,V14,Leavenworth,2017
Ashima Shiraishi,USA,Crown of Aragorn,V13,Hueco Tanks,2012
Ashima Shiraishi,USA,Steady Plums direct,V13,Topside,2012
Ashima Shiraishi,USA,Fragile Steps,V13,Rocklands,2012
Ashima Shiraishi,USA,One summer in paradise,V13,Magic Wood,2013
Ashima Shiraishi,USA,The Automator,V13,"RMNP"" Co.""",2013
Ashima Shiraishi,USA,Betta Move,V13,Rocklands,2014
Ashima Shiraishi,USA,Golden Shadow,V14,Rocklands,2014
Ashima Shiraishi,USA,Blood Meridian,V13,Bishop,2014
Ashima Shiraishi,USA,The Swarm,V13/V14,Bishop,2015
Ashima Shiraishi,USA,Nuclear War,V14,New York,2015
Ashima Shiraishi,USA,Terre de Sienne,V13,Hueco Tanks,2015
Ashima Shiraishi,USA,Phenomena,V14,"Hinokage"" Japan""",2015
Ashima Shiraishi,USA,Horizon,V15,"Hiei"" Japan""",2015
Ashima Shiraishi,USA,Sleepy Rave,V15,"The Grampians"" Australia""",2016
Ashima Shiraishi,USA,Mana,V13,"The Grampians"" Australia""",2016
Tomoko Ogawa,JPN,Catharsis,V14,Shiobara,2012
Shauna Coxsey,GBR,Nuthin’ but Sunshine,V13,"RMNP"" Co.""",2013
Shauna Coxsey,GBR,Zarzaparrilla,V13,Albarracín,2014
Shauna Coxsey,GBR,One summer in paradise,V13,Magic Wood,2014
Shauna Coxsey,GBR,New Base Line,V14,Magic Wood,2014
Shauna Coxsey,GBR,Ropes of Maui,V13,North Wales,2016
Brooke Raboutou,USA,Fragile Steps,V13,Rocklands,2014
Brooke Raboutou,USA,Meadowlark Lemmon stand,V13,Red Rocks,2020
Alex Puccio,USA,Top Notch,V13,"RMNP"" Co.""",2014
Alex Puccio,USA,Nuthin’ but Sunshine,V13,"RMNP"" Co.""",2014
Alex Puccio,USA,Jade,V14,"RMNP"" Co.""",2014
Alex Puccio,USA,The Automator,V13,"RMNP"" Co.""",2014
Alex Puccio,USA,Freaks of the Industry,V13,"RMNP"" Co.""",2014
Alex Puccio,USA,Wheel of Chaos,V14,"RMNP"" Co.""",2014
Alex Puccio,USA,Black Lung,V13,"Joe’s Valley"" Utah""",2014
Alex Puccio,USA,The Swarm,V14,Bishop,2015
Alex Puccio,USA,Direction,V13,Bishop,2015
